Age,Avg of Charges,,BMI,Average of Charges,,No. of children,Average of Charges,,,,,,,,,,,,,,,
18,7086,,15.96,1695,,0,12366,,,,Correlation coefficient,0.840043684,,,,,,,,,Correlation coefficient,0.198340969
19,9748,,16.815,4904,,1,12731,,,,,,,,,,,,,,,
20,10160,,17.195,14456,,2,15074,,,,,,,,,,,,,,,
21,4730,,17.29,7813,,3,15355,,,,,,,,,,,,,,,
22,10013,,17.385,2775,,4,13851,,,,,,,,,,,,,,,
23,12420,,17.4,2585,,5,8786,,,,,,,,,,,,,,,
24,10648,,17.48,1621,,,,,,,,,,,,,,,,,,
25,9838,,17.67,2681,,,,,,,,,,,,,,,,,,
26,6134,,17.765,32734,,,,,,,,,,,,,,,,,,
27,12185,,17.8,1728,,,,,,,,,,,,,,,,,,
28,9069,,17.86,5117,,,,,,,,,,,,,,,,,,
29,10430,,17.955,15007,,,,,,,,,,,,,,,,,,
30,12719,,18.05,9644,,,,,,,,,,,,,,,,,,
31,10197,,18.3,19023,,,,,,,,,,,,,,,,,,
32,9220,,18.335,11577,,,,,,,,,,,,,,,,,,
33,12352,,18.5,4766,,,,,,,,,,,,,,,,,,
34,11614,,18.6,1729,,,,,,,,,,,,,,,,,,
35,11307,,18.715,21595,,,,,,,,,,,,,,,,,,
36,12204,,18.905,4828,,,,,,,,,,,,,,,,,,
37,18020,,19,6753,,,,,,,,,,,,,,,,,,
38,8103,,19.095,16776,,,,,,,,,,,,,,,,,,
39,11778,,19.19,8628,,,,,,,,,,,,,,,,,,
40,11772,,19.3,15821,,,,,,,,,,,,,,,,,,
41,9654,,19.475,6933,,,,,,,,,,,,,,,,,,
42,13061,,19.57,8428,,,,,,,,,,,,,,,,,,
43,19267,,19.8,7267,,,,,,,,,,,,,,,,,,
44,15859,,19.855,6492,,,,,,,Correlation coefficient,-0.317594374,,,,,,,,,,
45,14830,,19.95,9049,,,,,,,,,,,,,,,,,,
46,14343,,20.045,18109,,,,,,,,,,,,,,,,,,
47,17654,,20.1,12032,,,,,,,,,,,,,,,,,,
48,14633,,20.13,18768,,,,,,,,,,,,,,,,,,
49,12696,,20.235,7723,,,,,,,,,,,,,,,,,,
50,15663,,20.3,1242,,,,,,,,,,,,,,,,,,
51,15682,,20.35,8605,,,,,,,,,,,,,,,,,,
52,18256,,20.4,3260,,,,,,,,,,,,,,,,,,
53,16021,,20.425,1625,,,,,,,,,,,,,,,,,,
54,18759,,20.52,9558,,,,,,,,,,,,,,,,,,
55,16165,,20.6,5498,,,,,,,,,,,,,,,,,,
56,15026,,20.615,2804,,,,,,,,,,,,,,,,,,
57,16447,,20.7,1243,,,,,,,,,,,,,,,,,,
58,13879,,20.79,1608,,,,,,,,,,,,,,,,,,
59,18896,,20.8,2756,,,,,,,,,,,,,,,,,,
60,21979,,20.9,11514,,,,,,,,,,,,,,,,,,
61,22024,,21.01,11014,,,,,,,,,,,,,,,,,,
62,19164,,21.09,13415,,,,,,,,,,,,,,,,,,
63,19885,,21.12,6653,,,,,,,,,,,,,,,,,,
64,23276,,21.28,4296,,,,,,,,,,,,,,,,,,
,,,21.3,9182,,,,,,,,,,,,,,,,,,
,,,21.375,5862,,,,,,,,,,,,,,,,,,
,,,21.4,11511,,,,,,,,,,,,,,,,,,
,,,21.47,5844,,,,,,,,,,,,,,,,,,
,,,21.5,10792,,,,,,,,,,,,,,,,,,
,,,21.56,9855,,,,,,,,,,,,,,,,,,
,,,21.565,13748,,,,,,,,,,,,,,,,,,
,,,21.66,14361,,,,,,,,,,,,,,,,,,
,,,21.7,13845,,,,,,,,,,,,,,,,,,
,,,21.755,9036,,,,,,,,,,,,,,,,,,
,,,21.78,9078,,,,,,,,,,,,,,,,,,
,,,21.8,20167,,,,,,,,,,,,,,,,,,
